,Unnamed: 0,Monthly_Inhand_Salary ,Accounts of user,Credit cards user have,Interest Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Outstanding_Debt,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Utlization Ratio,Credit Inquiries,Cumulative Balance,Cash Flow,Credit Score
1945,1945,3430.105833,5,4,11,2,1,14,9.45,791.51,63.23724085,186.5225168,383.2508257,95,5,2621,3496,Good
5854,5854,2497.9225,4,7,2,-100,7,12,4.36,1015.21,44.40179012,48.11376797,407.2766919,74,17,1285,4121,Best
3756,3756,3946.1625,4,6,3,1,0,9,11.32,1150.28,22.43472478,133.727501,508.4540242,99,7,2867,1683,Good
2442,2442,5674.49,5,5,25,7,25,8,9.84,1948.88,403.3879319,83.37494953,320.6861186,93,11,1406,3044,Standard
4605,4605,7140.823333,3,3,16,4,22,21,15.55,649.07,219.2491745,176.3869795,558.4461794,71,12,4868,2154,Best
1029,1029,802.5644817,10,7,22,5,55,20,25.04,4183.22,92.85434624,20.93018561,303.4124448,88,16,3688,4693,Best
3040,3040,2807.596667,5,3,13,3,22,19,3.88,1353.86,68.07297826,303.8246073,198.8620811,70,19,3184,1327,Best
4647,4647,2918.068333,3,6,20,1,16,14,16.02,1212.78,20.55212296,115.8252085,405.4295019,74,18,3938,2076,Best
7167,7167,2104.560833,3,4,10,4,34,9,13.05,837.41,76.39432093,74.1416109,319.9201515,73,18,4743,554,Best
4282,4282,3573.293333,6,5,31,5,21,17,15.5,2186.2,109.6164901,75.19056721,412.5222761,82,4,1770,4135,Standard
2120,2120,3098.661667,5,7,18,4,15,9,7.31,1659.15,82.01131524,338.1115093,179.7433421,92,12,3440,3170,Standard
417,417,2717.026667,8,3,19,3,12,18,15.14,1166.47,58.21667032,87.98217406,375.5038223,83,17,2478,4821,Best
1234,1234,2312.743333,8,3,9,3,16,12,13.99,1103.71,42113.0,30.666289,395.8007491,84,14,1214,4277,Best
5680,5680,8328.5,3,6,5,4,11,17,1.12,82.66,281.0989547,631.3912106,190.3598346,79,15,4486,1086,Best
5064,5064,8649.47,8,7,16,1,9,13,19.19,1115.0,78.42068777,423.1597996,653.3665126,79,14,1022,1120,Best
5518,5518,1809.0025,7,6,7,1,6,11,13.1,798.1,9.076122705,145.3390857,296.4850416,87,18,4477,590,Best
1362,1362,3470.9575,4,7,15,2,15,20,18.38,2266.69,47.93668893,91.8394299,467.3196312,93,15,2978,3045,Standard
3312,3312,3957.75,10,10,21,6,39,17,26.98,4082.37,227.4483415,231.6089332,226.7177253,97,8,4513,2555,Standard
7582,7582,1771.839167,6,3,7,4,6,13,7.87,1436.59,60.52471129,19.35261508,337.3065903,73,17,4437,2469,Best
7595,7595,8668.635,7,3,15,4,29,15,6.87,511.96,318.5010526,520.7900976,307.5723498,83,14,3094,732,Best
2201,2201,355.2083333,4,6,20,5,30,12,10.82,1765.67,23.25041483,25.91547785,266.3549406,70,16,4482,1854,Best
5644,5644,2058.956667,3,4,12,3,21,13,8.74,203.18,55.67499968,260.8790892,179.3415778,75,16,1695,520,Best
4022,4022,1713.56,2,5,10,3,3,5,9.41,123.12,31.29690078,96.5851076,303.4739916,95,4,2981,3671,Good
3469,3469,6431.71,5,7,13,1,10,14,8.22,1068.66,35.83540166,125.653322,741.6822763,70,17,1164,4813,Best
5934,5934,2219.791667,6,4,14,3,9,13,18.2,955.58,61.85727129,161.6987344,288.423161,71,16,1494,525,Best
4844,4844,10178.18333,3,3,7,3,9,11,2.36,512.24,180.1891692,883.3963318,234.2328324,80,16,2566,2305,Best
4742,4742,14672.1,1,5,11,2,11,1,5.34,190.4,206.2468014,110.7079405,1390.255258,71,17,3323,4421,Best
3396,3396,1897.1225,3,7,25,7,21,14,12.05,1924.26,86.85516278,125.9255128,246.9315744,78,18,1775,3229,Best
7122,7122,7321.9325,8,3,9,1,13,13,19.7,447.18,40.10478564,202.7347196,749.3537448,74,15,2079,4140,Best
4684,4684,6407.725,3,7,7,1,5,2,6.31,187.01,54.03972289,118.6094268,718.1233503,79,19,3143,1780,Best
1025,1025,1480.585833,7,7,26,9,37,18,6.18,3247.42,93.61720092,104.4795442,229.9618382,80,12,2248,3262,Standard
23,23,9843.8675,2,5,7,3,11,11,11.24,1377.74,226.8927919,649.8093642,367.6845939,77,14,3496,3162,Best
142,142,3224.935,9,9,16,5,57,18,17.25,3119.6,133.4708452,123.9598696,315.0627851,92,10,1066,4060,Standard
3011,3011,1462.605833,8,9,30,-100,57,24,23.18,2867.66,43.23479314,76.70577313,316.3200171,88,0,3881,2589,Standard
1027,1027,872.5104167,10,7,22,5,54,20,25.04,4183.22,22.90841124,65.51465329,288.8279771,91,11,2330,2246,Standard
5154,5154,4524.31,6,3,20,4,6,13,-6.31,224.35,43515.0,58.75129234,475.9882771,71,15,3565,3852,Best
10,10,2612.490833,2,5,4,1,0,6,1.99,632.46,16.41545166,81.22885871,433.604773,70,16,3391,4439,Best
6388,6388,1503.95125,1,7,5,3,10,3,5.99,718.95,24.44118001,144.459385,261.49456,85,16,2240,304,Best
3729,3729,1205.619167,8,10,30,-100,26,12,18.81,2056.83,31.85573248,33.6582724,335.0479118,97,8,3237,1130,Standard
4211,4211,9812.083333,3,1,3,3,3,6,6.73,1312.44,191.6757055,895.5561867,173.9764412,75,6,2277,2609,Good
5554,5554,1322.429583,6,3,20,4,15,14,7.73,1406.02,40.17141519,110.5200793,261.5514638,70,14,4292,3369,Best
7220,7220,7836.15,8,6,19,1,22,16,7.52,860.4,48.17164182,581.2405691,424.2027891,74,18,3193,3532,Best
4179,4179,11878.90667,5,4,7,-100,0,6,11.91,1321.93,262.4006749,339.9572568,845.532735,99,5,2309,4609,Good
3360,3360,4833.47,5,4,5,4,30,13,7.42,590.3,124.4958267,348.0393692,290.811804,78,17,3472,1177,Best
2946,2946,9459.326667,7,6,17,2,19,8,0.33,291.71,141.9231326,174.097679,869.911855,73,15,1595,4282,Best
1394,1394,3362.148333,7,9,31,6,13,25,19.89,4586.12,81578.0,139.895969,274.5103431,79,15,4912,2231,Best
5213,5213,1669.0625,4,7,6,3,28,10,14.07,955.6,43.75145433,168.1441369,245.0106587,75,14,1303,2708,Best
3200,3200,1315.966667,6,3,13,6,13,11,7.81,1901.28,39.55843134,59.3576574,322.6805779,88,12,1314,4352,Best
3794,3794,1845.993333,5,2,4,2,9,5,6.09,83.96,30.30590559,14.52647296,379.7669548,92,6,3624,549,Good
3957,3957,4618.705,7,10,21,2,57,20,7.35,2371.73,66.18363519,619.0625979,66.62426694,88,9,3932,492,Standard
6628,6628,1187.645833,5,3,10,1,18,12,1.79,1011.03,7.249926182,79.40786369,322.1067935,73,16,2579,2364,Best
1407,1407,3336.599953,8,3,18,4,11,21,12.73,262.96,211.6741306,64.5325365,388.3555469,73,15,2759,4286,Best
7049,7049,6101.9,3,7,12,2,13,10,7.41,39.31,65.27357157,70.03556242,724.880866,75,17,3502,4200,Best
5733,5733,1159.4825,6,4,9,7,9,13,16.54,1665.02,57865.0,91.97952443,225.1336747,82,18,3093,3284,Best
4664,4664,6942.4,4,5,9,4,19,12,17.9,544.54,222.7160677,460.9711728,290.5527595,78,14,3350,502,Best
3952,3952,8526.145,5,4,9,2,10,1,2.1,460.58,173.9355003,93.06999415,825.6090055,90,14,3464,1119,Good
384,384,1951.603333,3,7,3959,1,26,14,0.67,784.35,13.88630543,89.24234197,352.0316859,93,0,4264,397,Good
5081,5081,1939.796667,4,3,19,1,9,19,7.31,1019.48,10.35830659,120.0218813,353.5994787,70,18,2935,100,Best
2601,2601,9818.326667,2,2,1,3,12,0,6.83,776.18,223.0756746,105.2179239,903.5390682,72,15,2428,400,Best
5975,5975,1311.7325,5,6,7,4,13,9,9.63,976.94,33.05543447,88.43713687,299.6806787,74,18,2486,2619,Best
6779,6779,5112.77,6,7,6,6,29,12,16.51,187.22,268.3139962,188.8989775,304.0640263,77,7,3836,2727,Best
5404,5404,8275.16,4,6,11,4,23,15,19.24,1213.26,184.2706384,409.1336997,524.1116619,71,15,4719,1574,Best
3178,3178,3852.655,3,5,23,4,9,13,19.59,2359.68,137.9759189,140.8105923,356.4789888,94,9,3577,4967,Standard
5857,5857,2010.2475,3,7,7,418,30,14,3.81,1478.07,18.66644511,180.3652556,281.9930493,93,19,2620,2278,Best
2862,2862,6164.655,3,4,19,4,29,20,11.88,284.69,239.0178764,150.1346174,467.3130062,86,19,4818,515,Best
2791,2791,1843.083333,3,5,20,5,29,19,14.3,2374.04,53.35272172,59.92887995,331.0267317,81,12,1205,158,Standard
6001,6001,7998.6425,5,6,2,1,7,5,3.28,777.88,68.22942286,473.464279,538.1705481,78,8,4924,1567,Best
3835,3835,2734.310833,8,6,19,5,29,10,15.84,1394.85,100.1215362,73.17188527,380.1376618,73,15,3248,1132,Best
6620,6620,6671.1225,3,6,18,3,30,18,13.53,1251.67,119.4671641,204.5213663,593.1237196,76,15,3327,1588,Best
1322,1322,4940.0775,6,6,22,5,40,24,7.82,3322.38,212.556688,179.5631156,351.8879464,88,8,4724,3484,Standard
232,232,10541.52075,8,5,15,2,9,16,6.89,668.14,662.7777405,780.4179941,470.3888491,95,15,3078,3775,Good
5821,5821,1584.7,8,6,21,9,42,19,24.2,4499.92,102.9174632,201.2759726,144.2765642,70,14,3248,3116,Best
4160,4160,2071.544167,7,5,14,2,7,17,13.51,33.85,31.8394143,238.4680805,226.8469218,71,19,3679,2846,Best
2605,2605,5356.473333,9,8,15,8,21,23,6.41,4362.52,390.4512882,54.7851378,330.4109073,76,19,3633,485,Best
246,246,2518.839167,7,3,11,4,12,15,5.68,919.76,73.23331848,314.0875747,154.5630235,82,15,1118,895,Best
568,568,3352.675,6,10,29,6,54,16,9.55,2403.26,174.0872209,153.6124198,297.5678594,96,4,1498,4336,Standard
3270,3270,2438.323333,10,5,16,7,53,20,1.69,1620.94,135.0358881,104.6764383,274.1200069,99,11,1082,3212,Standard
5019,5019,4524.31,6,3,20,4,11,16,0.69,224.35,157.6914306,215.9183512,348.8212183,70,18,4954,3689,Best
2036,2036,1317.384167,3,4,6,4,24,11,11.05,393.05,42.07877621,52.6568609,287.0027796,97,1,2122,3225,Good
5044,5044,9176.463333,4,4,15,-100,16,15,18.56,1050.97,98.83261072,175.3649136,893.448809,70,15,2637,3889,Best
5920,5920,5905.643333,10,8,31,8,37,21,16.28,4192.67,399.1522191,77.22421752,364.1878967,74,17,4705,2421,Best
4234,4234,4886.316667,6,6,18,1,21,19,9.13,974.73,41.64582635,167.8167869,539.1690534,73,19,2856,378,Best
7091,7091,3695.525,7,169,18,2,5,11,10.74,476.56,51.2728535,264.9210117,343.3586348,77,19,4956,4631,Best
2273,2273,977.13125,10,10,17,2,60,15,19.27,2142.54,12.10055193,44.05530338,301.5572697,93,1,2206,3942,Standard
2840,2840,7256.316667,1,5,4,2,6,4,5.77,651.09,110.5873623,69.24915248,785.7951519,90,2,3523,1779,Standard
4759,4759,1874.21,3,3,10,2,32,14,3.19,170.66,20.2275002,59.8824349,377.3110649,73,15,4693,4043,Best
7405,7405,823.26,10,10,34,7,54,17,19.61,1510.44,34.10432843,38.06094831,290.1607233,76,14,3536,3613,Best
7245,7245,1125.359167,3,4,13,2,21,14,3.51,58.64,10.66365457,23.22199774,338.6502644,73,14,4052,1441,Best
7449,7449,2704.236667,6,4,11,-100,26,14,16.83,168.46,19.92112515,260.0960489,280.4064926,71,19,1789,1353,Best
2516,2516,2319.831269,7,4,8,3,24,9,8.53,604.77,396.4200839,225.3642225,274.836341,94,2,3340,3577,Good
7142,7142,1572.1825,4,1,10,1,2,13,8.11,263.2,13.35905908,106.8148156,327.0443753,95,14,1310,2343,Best
5139,5139,7658.1425,6,7,16,1,24,9,11.92,544.02,42.20224927,535.4733652,468.1386355,71,16,1080,2807,Best
6160,6160,11141.67333,6,3,14,3,23,16,2.17,410.1,245.9244925,1015.785004,132.4578365,70,16,2833,3110,Best
6265,6265,920.2983333,9,6,20,8,12,19,-3.43,3043.88,71.63048027,90.28342771,220.1159254,78,16,1837,4947,Best
2691,2691,1142.400833,3,5,30,4,8,17,16.59,1334.8,33.34129604,144.5797092,226.3190781,84,12,4632,1068,Standard
2723,2723,3166.331667,5,3,21,4,15,7,10.74,2244.32,77.3569733,122.2640963,367.012097,94,18,2278,3773,Standard
1806,1806,1522.285,2,2,2,3,13,0,9.87,1177.09,51.128519,94.69273447,286.4072465,97,6,2879,3642,Good
2798,2798,10731.29,5,1,1,4,0,9,1.65,563.31,287.1611885,141.3213557,884.6464558,90,1,2468,2091,Good
4827,4827,3984.961667,1,4,11,2,1,6,2.28,833.1,48.88539432,112.0329549,487.5778175,73,14,4093,1650,Best
5244,5244,3300.939167,0,4,1,2,9,-3,10.2,511.85,50.85101407,148.1317097,391.1111929,71,17,4363,4956,Best
2554,2554,1236.915,8,7,16,5,27,12,16.45,1278.88,44.32788927,92.91787941,276.4457313,72,19,2939,2186,Best
7024,7024,3355.175,0,3,1,1,4,12,10.26,1303.34,19.64905037,100.3507232,465.5177264,72,18,3374,1433,Best
5615,5615,7950.5625,3,4,10,4,9,23,3.86,1361.61,235.8110935,173.9650866,645.2800699,72,18,3145,4544,Best
3199,3199,1315.966667,6,3,13,6,8,10,12.81,1901.28,39.55843134,108.8269925,273.2112428,95,16,1789,4095,Best
6567,6567,4455.355,8,8,25,9,35,23,21.44,3253.48,308.4443019,52.45168758,324.6395106,70,14,3673,1457,Best
1630,1630,6596.956667,1,4,10,2,27,5,1.77,614.83,75.81024104,228.8155511,625.0698746,81,10,3291,4508,Standard
6476,6476,5994.0225,7,6,13,4,17,18,10.47,1266.04,132.0968469,199.5570309,537.7483722,80,18,4029,4130,Best
2685,2685,3496.686667,1019,4,6,7,21,7,18.65,2371.53,184.2774333,82.55480606,332.8364273,75,7,3461,656,Best
7126,7126,9970.42,2,5,12,2,6,11,0.53,413.86,183.8052497,299.1941411,764.0426092,72,15,1314,4123,Best
1717,1717,1211.6125,3,8,21,4,9,17,18.77,1898.34,46.67344609,78.50955585,285.9782481,97,16,1184,3884,Standard
2431,2431,3864.926667,0,4,12,3,3,10,0.95,301.82,63.52164946,44.74674738,518.2242698,79,14,1941,2082,Best
80,80,1684.168333,1,5,1,2,5,7,6.83,413.32,29.53458372,138.8031575,270.0790921,89,10,3323,2222,Best
1784,1784,11947.15333,5,1,12,3,12,8,2.41,483.13,322.87608,198.246915,913.5923384,96,3,4987,790,Good
1348,1348,819.5158333,6,3,14,2,14,18,9.33,847.88,10.05059807,17.50817619,304.3928091,97,5,2815,1842,Good
7325,7325,4210.815,6,5,20,1,8,14,9.4,1022.77,25.74207195,164.4402243,480.8992037,79,9,4362,2192,Best
4107,4107,5961.6375,8,3,14,2,9,8,11.56,1022.67,68.4042151,285.2915318,532.4680031,90,12,4255,1079,Standard
5806,5806,8539.9325,6,5,17,4,29,18,9.49,1407.61,180.0991846,489.2467716,464.6472939,81,14,3618,3880,Best
4892,4892,1649.661667,7,5,15,2,21,16,7.47,878.79,20.77430631,202.350992,231.8408684,74,14,3956,3517,Best
6717,6717,1785.02625,1,3,7,2,14,1,4.86,783.77,20.36603174,67.15332831,370.983265,78,16,2407,4587,Best
4649,4649,10304.63,8,7,19,4,16,12,9.72,1208.29,389.0075114,245.0900181,636.3654704,76,17,3376,994,Best
5374,5374,3199.816667,3,4,12,4,13,10,11.49,1052.87,87.35179471,59.07271598,423.557156,76,18,3090,286,Best
6695,6695,4107.935,8,3,19,3,12,14,14.19,1161.1,62.89923429,140.2381368,467.6561289,76,15,4597,3543,Best
2907,2907,1096.08,8,7,23,9,55,21,4.78,1975.27,78.22962898,69.43408184,251.9442892,93,13,1293,2202,Standard
2088,2088,6504.19,8,8,25,7,45,22,0.64,1597.7,449.5057237,105.1025511,335.8107252,81,9,4452,4488,Standard
3821,3821,8524.9925,5,7,3,2,11,3,4.24,1371.02,98.72127874,115.9938653,877.784106,87,11,4603,3379,Standard
7568,7568,6074.4,6,10,32,7,31,20,3.6,1432.71,297.547446,78.32069898,481.571855,70,17,2367,2182,Best
4507,4507,918.6129167,1,7,12,2,15,84,10.75,542.5,23.47531041,46.82202118,291.5639601,74,18,4646,3197,Best
866,866,6535.43,10,6,16,6,32,22,9.94,2321.23,232.3847176,128.1096506,533.0486318,98,13,1592,4525,Standard
2576,2576,5147.38,8,4,16,5,11,9,9.01,77.34,135.3795929,92.05487663,527.3035305,79,19,2360,3382,Best
4333,4333,5313.4025,7,7,16,3,15,14,18.46,2062.09,125.5050217,580.7970227,115.0382055,79,17,4708,1336,Best
1471,1471,1239.53571,7,1325,26,3,39,10,13.76,2362.17,86.35931777,37.72709598,329.6166266,76,11,1842,2752,Standard
6840,6840,5660.575,6,5,7,2,30,12,16.22,978.49,59.13169478,182.9615677,593.9642376,78,19,3761,4902,Best
5169,5169,1000.233333,5,6,17,7,33,16,9.24,877.84,79.94678082,87.77098747,212.305565,71,14,3784,2701,Best
152,152,1654.615,6,3,7,7,8,15,15.06,2431.64,57.35116519,71.9105158,296.199819,82,19,3434,4339,Best
4078,4078,2130.874167,5,2,7,3,8,0,4.86,947.41,39.91728359,282.9161912,180.2539419,70,15,1235,1690,Best
827,827,1313.485833,7,8,23,2,46,9,12.39,2271.53,20.30880921,107.9986638,283.0411103,81,10,2690,684,Standard
6952,6952,1645.803333,3,3,13,4,30,12,12.61,1442.1,31.20461332,72.27922627,341.0964937,73,19,4671,4116,Best
7370,7370,4663.973333,3,5,6,2,10,6,15.81,1384.55,75.00154721,375.1654893,286.2302968,76,16,3865,3067,Best
5829,5829,4627.98,5,6,6,1,29,18,1.17,1179.08,37.50499252,182.6413954,522.651612,77,15,2840,2854,Best
3320,3320,3750.2725,7,7,33,2,22,24,14.45,2390.74,64.73305243,79.74571755,480.54848,91,10,1302,1642,Standard
1989,1989,1027.31,6,6,15,3,30,10,5.06,983.22,23.61597002,26.04396158,293.0710684,97,11,1958,4834,Good
4289,4289,2804.7,7,8,16,6,27,21,12.69,1672.39,113.0328529,227.2443477,230.1927994,80,13,4740,2744,Standard
6536,6536,1773.075,5,3,16,3,25,9,16.27,888.02,42.19175512,106.7802742,318.3354707,77,15,4393,4595,Best
4633,4633,1383.844167,8,3,15,5,17,17,15.9,1125.37,61.35256822,153.8018644,213.229984,74,19,1031,2143,Best
1274,1274,6973.353333,1,6,1,1,8,-3,1.81,360.92,56.69193834,257.5845279,633.0588671,85,9,4865,3841,Standard
4329,4329,1510.5375,8,9,15,-100,47,26,18.93,4402.46,114.4232255,130.6302123,196.0003122,80,13,4887,1789,Standard
2553,2553,1263.049167,6,5,31,5,36,21,22.04,3299.1,36.52054189,146.6014654,233.1829094,78,18,4979,4117,Best
2799,2799,10731.29,5,1,1,4,4,9,1.65,563.31,287.1611885,357.0960053,688.8718062,91,4,4274,4312,Good
5833,5833,3874.27,6,6,6,3,22,19,7.3,1014.25,73.94070822,178.9076238,424.5786679,73,18,2153,1315,Best
2530,2530,5538.305,3,6,5,1,22,2689,2.84,485.36,57.27662841,369.8753098,416.6785618,74,14,2683,3934,Best
3543,3543,1555.37,7,4,15,7,5,17,18.2,1580.95,66.98943275,115.3619044,263.1856628,88,11,1932,1416,Standard
3324,3324,7781.013333,3,7,17,3,15,12,13.28,1382.62,217.2614828,50.8571693,749.9826812,76,15,1728,2862,Best
2338,2338,4694.006667,9,5,25,7,57,8,11.67,1653.18,276.2558424,214.4518138,248.6930106,88,10,2055,2011,Standard
5378,5378,4600.375,7,5,32,3,46,24,7.2,2196.59,112.6957682,234.706057,372.6356748,78,18,3366,2866,Best
706,706,2930.128333,1,5,8,3,8,8,9.7,846.45,50.76844004,200.9042,331.3401933,89,13,4989,3851,Standard
3221,3221,1229.359167,10,5,22,5,45,20,21.73,4375.21,54.02442559,121.9565128,226.9549783,77,18,4221,3702,Best
971,971,4999.0425,6,5,19,9,43,24,25.7,4701.09,401.1213841,72.29548058,276.4873853,92,16,3186,3293,Standard
1204,1204,507.5954167,10,6,32,7,27,22,9.33,1636.23,32.40642842,51.02399386,247.3291194,85,12,3887,4369,Standard
251,251,2606.105,4,3,6,1,22,18,12.05,635.59,17.69844332,156.3272161,376.5848406,75,9,4031,3542,Best
942,942,10998.1775,5,7,6,2,2,4,10.54,744.97,199.8420985,312.7363581,867.2392934,74,9,1106,1309,Best
3515,3515,4515.08,6,8,19,9,22,17,6.09,4870.27,374.1427095,197.0082604,160.3570301,87,10,1408,4193,Standard
5903,5903,1398.360833,7,10,30,6,58,24,8.67,2412.24,70.46462062,50.17584468,269.195618,78,18,2593,1990,Best
3618,3618,5993.87,6,4,21,5,25,17,26.58,1587.98,262.8315664,404.8733487,201.6820849,93,10,3935,4485,Standard
3361,3361,4833.47,5,4,5,4,25,13,7.42,590.3,124.4958267,181.7635331,437.0876402,83,15,1276,1540,Best
5548,5548,5561.831667,8,7,5,2,4,13,8.11,1446.37,86.4011582,198.1099559,521.6720526,78,14,1775,127,Best
4458,4458,5417.858333,7,4,10,3,25,9,8.32,1145.17,124.0533897,578.7405406,128.991903,70,15,1350,1563,Best
811,811,6958.141667,5,7,4,2,8,8,3.59,49.6,107.3811304,400.8593368,457.5736994,94,4,1869,1491,Good
5224,5224,1415.935833,9,5,21,7,39,25,29.49,4671.72,68.24048936,27.70571353,305.6473804,77,14,4882,1436,Best
6200,6200,930.6479167,8,6,16,4,2,15,0.52,117.57,29.48547134,122.2029128,231.3764075,74,18,2836,3379,Best
2987,2987,2868.609167,1,3,12,3,2,6,2.5,563.28,54.78797362,195.5722198,326.5007233,78,16,4462,4107,Best
144,144,3224.935,9,9,16,-100,57,22,17.25,3119.6,133.4708452,145.9405486,303.0821062,70,19,4343,1798,Best
3736,3736,3469.8,9,10,20,2,37,25,2.03,1312.04,36.43757603,67.46345553,493.0789684,85,8,4765,4006,Standard
3793,3793,1845.993333,5,2,4,2,6,5,6.09,83.96,30.30590559,135.5100888,288.783339,90,2,1091,4058,Good
7147,7147,575.7183333,8,4,18,7,15,8,14.27,720.17,31.086195,30.05315959,256.4324787,79,17,3672,4457,Best
5530,5530,1195.189167,4,3,13,3,11,16,9.79,1334.81,21.40873561,44.10079183,344.0093892,76,16,4173,2428,Best
6091,6091,2235.693333,8,5,9,4,11,15,8.2,865.12,64.49226323,64.34819231,344.7288778,86,9,1656,1424,Best
3659,3659,647.015,8,8,18,2,26,20,3.35,1807.0,10.56153503,30.68595429,293.4540107,74,14,2859,3934,Best
3461,3461,7235.193333,10,5,33,9,20,22,4.05,1538.13,342.2434963,437.4583705,223.8174665,98,12,2733,1686,Standard
2767,2767,695.2595833,7,5,16,7,35,19,23.85,3500.59,76326.0,77.55906058,228.0712451,94,3,3696,4352,Good
4212,4212,576.8079167,8,9,18,9,29,22,8.47,4313.93,37.09661426,38.64428764,271.9398898,95,1,2398,4136,Standard
854,854,2955.246667,10,5,18,7,35,25,16.82,3271.84,98.19308987,390.3183914,97.01318539,83,7,1200,4844,Standard
5479,5479,2654.329167,3,4,14,4,28,11,9.4,1234.91,68.11381307,83.21766636,364.1014372,89,16,3649,1209,Best
172,172,7255.538333,5,2,8,3,15,10,9.01,325.93,211.1843903,472.7754275,321.5940155,99,6,1039,4244,Good
4290,4290,2804.7,826,8,16,6,25,19,8.69,1672.39,113.0328529,97.89269921,319.5444479,97,0,2439,2931,Standard
933,933,4387.2725,6,4,20,3,18,14,1.01,1274.59,107.3294636,112.5710723,468.8267141,70,19,2639,963,Best
3121,3121,3424.913333,4,6,10,2,9,18,0.58,530.04,39.96049353,37.32692866,505.2039111,71,16,2212,1124,Best
63,63,782.0370833,5,5,10,3,25,19,15.79,569.8,26.06034753,66.37358,275.7697808,90,11,1855,3304,Standard
1748,1748,2073.33625,5,3,8,3,25,12,1.08,939.2,33.15526655,27.26895551,396.9094029,96,11,1697,3621,Standard
4244,4244,1516.97875,1,4,1,4,10,8,10.06,455.49,52.21616909,116.8386643,272.6430416,90,0,1443,109,Good
5331,5331,2965.056667,2,5,5,1,10,6,9.6,22.61,28.48255057,91.8262415,426.1968746,70,16,3880,2969,Best
6194,6194,5518.083333,8,891,17,7,25,10,8.19,233.54,275.7414564,134.4449058,401.6219711,73,19,4271,2150,Best
3904,3904,1341.86375,5,1,2,1,4,3,8.61,385.34,9.986938808,138.4407421,265.7586941,82,2,3536,3973,Good
4924,4924,1376.697641,3,5,20,4,9,19,2.2,799.07,86.29587661,30.12764152,317.7270489,77,12,1742,4663,Best
3113,3113,2625.708333,4,5,4,2,1,12,8.33,47.18,32.06861788,212.2086251,308.2935903,79,9,4522,2220,Standard
1093,1093,4816.9725,6,5,11,2,23,16,14.29,2019.51,69.73399854,130.304986,531.6582654,87,14,1571,4808,Best
540,540,6155.64,6,3,9,4,18,12,13.73,50.22,232.066077,424.8286523,238.6692707,78,17,1196,1230,Best
1998,1998,12446.18,0,5,3,1,20,3,9.42,1334.34,113.5160296,215.2087198,1165.893251,80,12,2970,2584,Standard
6490,6490,5370.1,3,4,19,2,1,8,11.22,746.09,92.25412507,652.3637824,82.39209257,73,18,4973,3551,Best
7276,7276,2357.391667,8,7,12,4,27,18,4.45,1310.17,61.62016243,127.5585687,336.5604355,71,19,2595,480,Best
4894,4894,2645.134167,7,7,6,3,30,19,8.42,582.97,56.95897503,73.02941891,384.5250227,80,17,3088,2242,Best
6936,6936,5910.3,6,5,7,4,10,17,10.04,235.27,171.1457123,117.9342924,541.9499954,71,14,4572,2516,Best
7545,7545,4546.016667,6,5,12,2,28,9,2.57,434.25,79.60689296,111.7033518,503.2914219,73,16,4645,3359,Best
5269,5269,3450.650833,1,3,7,-100,15,10,1.76,424.5,87.96659057,143.8760674,363.2224254,74,14,4542,4109,Best
6320,6320,2808.863333,7,9,21,9,15,15,24.61,4882.12,200.3700421,177.514618,193.0016733,76,19,2033,1356,Best
2726,2726,3166.331667,5,3,21,4,14,12,10.74,2244.32,77.3569733,157.5534584,341.722735,93,7,2401,806,Standard
4899,4899,12267.94667,6,7,20,4,25,15,7.56,501.57,16146.0,403.4975517,810.5867636,78,15,1368,1908,Best
7254,7254,784.9545833,10,5,34,-100,14,25,26.31,2698.32,35.09429836,70.06732875,263.3338312,81,16,1214,2619,Best
3237,3237,2902.293333,9,10,23,8,54,25,8.27,2518.8,203.6009927,113.3233152,223.3050255,98,12,2772,4081,Standard
738,738,928.39375,8,5,16,6,65,25,6.06,1514.74,27.52282261,29.43037932,285.8861731,96,7,4700,1400,Standard
7211,7211,6405.0875,7,3,18,4,8,15,5.72,1052.29,188.6998751,644.4042579,87.40461697,72,14,2020,1684,Best
1453,1453,1350.884167,6,10,28,9,37,26,1.5,2072.63,78.14508468,86.71652916,230.2268028,98,8,2775,2104,Standard
6360,6360,667.7104167,8,3,18,4,24,12,18.02,164.79,26.82878832,48.4694482,281.4728051,87,10,4734,1103,Best
2694,2694,4242.675,6,5,34,9,39,21,7.89,4152.95,192.0799905,178.1210767,314.0664328,92,12,2532,4804,Standard
923,923,1588.553333,8,10,28,8,19,19,25.18,4182.21,87.46214102,63.96982525,277.4233671,80,14,2657,1856,Best
1442,1442,2933.606667,1,2,4,2,5,6,2.05,108.85,62.47570432,34.04451692,446.8404454,95,2,2140,1495,Good
7440,7440,8039.245,2,5,3,4,11,12,6.83,975.21,289.841054,685.4954537,98.58799233,73,18,3048,392,Best
2172,2172,7127.465,5,3,12,4,28,7,8.15,1425.02,154.9735327,703.5186015,134.2543658,72,7,4944,1798,Best
6249,6249,1214.898333,8,6,32,7,34,23,21.56,2765.76,73.31214663,48.08029234,250.0973944,79,19,4840,4403,Best
2762,2762,12474.84667,3,7,3,3,12,6,8.65,407.6,267.3659605,740.0403483,520.0783579,73,18,4974,3860,Best
